date,weighted,close,high,low,open,volume
2016-06-06,583.062942,583.58,586.73,571.67,574.91,37131086.56
2016-06-07,579.525443,575.58,591.32,543.63,583.58,49082472.71
2016-06-08,578.705824,580.51,582.44,567.78,575.58,28706216.31
2016-06-09,576.191024,574.69,580.71,569.26,580.51,28010575.91
2016-06-10,577.797625,577.89,579.26,571.14,574.69,26290866.62
2016-06-11,587.214381,591.6,592.61,576.29,577.89,24790441.26
2016-06-12,642.584103,666.55,683.85,592.79,591.6,139684630.33
2016-06-13,689.529085,700.07,718.24,652.78,666.55,149442548.73
2016-06-14,681.600988,685.14,702.52,654.69,700.07,92458349.24
2016-06-15,685.104354,690.77,695.07,670.45,685.14,53863568.9
2016-06-16,739.230839,761.21,769.73,687.43,690.77,169704647.02
2016-06-17,742.586246,743.9,771.89,704.21,761.21,160302360.32
2016-06-18,755.500637,753.77,776.04,727.13,743.9,91056993.79
2016-06-19,757.807928,761.04,765.1,740.38,753.77,45805980.62
2016-06-20,744.835252,733.97,764.6,717.41,761.04,83637617.46
2016-06-21,672.469148,667.38,732.23,626.05,733.97,166828425.88
2016-06-22,640.325879,590.56,677.8,586.6,667.38,129550795.89
2016-06-23,589.476044,620.84,629.55,539.28,590.56,154289129.68
2016-06-24,655.792866,656.89,687.39,616.41,620.84,128990817.06
2016-06-25,671.348715,663.52,688.1,640.79,656.89,67442141.07
2016-06-26,634.250605,625.41,665.19,609.9,663.52,56403088.15
2016-06-27,638.665868,644.66,650.34,615.22,625.41,63747137.15
2016-06-28,647.993368,644.89,659.27,634.26,644.66,49673830.24
2016-06-29,634.49068,636.54,645.91,621.76,644.89,50898093.64
2016-06-30,660.006214,670.02,673.04,631.24,636.54,58215062.66
2016-07-01,676.528968,674.57,685.11,661.09,670.02,62394480.64
2016-07-02,690.939035,698.06,700.46,671.46,674.57,46555796.93
2016-07-03,670.823049,661.64,701.49,644.61,698.06,66591456.99
2016-07-04,669.070163,675.16,679.03,644.04,661.64,42756935.48
2016-07-05,671.401616,663.67,679.19,657.31,675.16,36687264.23
2016-07-06,673.930658,672.7,678.39,662.24,663.67,31708100.51
2016-07-07,635.638824,635.25,676.19,604.95,672.7,97639342.03
2016-07-08,648.851712,662.78,663.43,630.17,635.25,49243011.02
2016-07-09,646.382503,651.83,663.49,620.68,662.78,62061207.33
2016-07-10,647.909324,647.11,651.98,636.8,651.83,18955766.48
2016-07-11,651.382551,646.71,657.47,639.97,647.11,29925667.34
2016-07-12,661.458488,670.56,673.19,644.56,646.71,44047499.67
2016-07-13,663.796894,661.15,672.02,656.04,670.56,41791464.25
2016-07-14,658.7246,657.25,661.88,646.31,661.15,31748496.83
2016-07-15,664.735819,664.2,667.46,656.5,657.25,23817856.65
2016-07-16,665.075156,660.69,665.41,655.72,664.2,13557557.05
2016-07-17,674.94034,676.33,680.94,660.13,660.69,31614610.5
